Outlet Code,Outlet Name,Sap No,Freezer Model,SCAN Location Latitude,SCAN Location Longitude
HUL-I10A451P10185-P10185,New Shakti Super Market Vakola,400100382209,W425G - WESTERN 425L GLASSTOP,19.0797766,72.8572666
HUL-I10A451P7069-P7069,SHIVAM CHEMIST & GENERAL STORE (SAN.),400100389986,W525G - WESTERN 525L GLASSTOP,19.0797031,72.8573475
HUL-10B381P24763-P24763,JAI SANTOSHI MATA,400100385715,W225G - WESTERN 225L GLASSTOP,19.0793397,72.8578612
HUL-I10A451P1196-P1196,AASHAPURA DRY FRUIT,400100126110,VT3 - NUCAB 400L GLASSTOP,19.0787036,72.8586825
HUL-I10A451P1324-P1324,BHATIA MEDICAL & SUPER MARKETS,400100386057,W525G - WESTERN 525L GLASSTOP,19.0786047,72.858608
HUL-I10A341P3192-P3192,LAXMI DAIRY FARM-MUMBAI,30075723,W425G - WESTERN 425L GLASSTOP,19.0159277,72.8529613
HUL-I170108181-181,HOTEL SATKAR WADALA-WEST            TG,30082486,W425G - WESTERN 425L GLASSTOP,19.0120021,72.8534759
HUL-I10A341P3450-P3450,SHREE DURGA TRADING CO ( DAILY MEDICAL),400100280173,W525G - WESTERN 525L GLASSTOP,18.9618617,72.8226909
HUL-I10A341P3435-P3435,CIRCLE JUICE CENTER,30130385,W325G - WESTERN 325L GLASSTOP,18.9815974,72.8259283
HUL-I170108P2919-P2919,SHREE RAM HOTEL,400100127688,VT3 - NUCAB 400L GLASSTOP,18.9815098,72.8269202
HUL-I10A341P4435-P4435,WELL FRESH,30130494,W425G - WESTERN 425L GLASSTOP,18.9813525,72.827284
HUL-I10A341P5800-P5800,M S BHARAT MEDICAL STORES,400100284905,W325G - WESTERN 325L GLASSTOP,18.9806782,72.8271924
HUL-I10A341P3498-P3498,WELLNESS FOREVER MEDICARE PRIVATE LIMITED,30125309,W325G - WESTERN 325L GLASSTOP,18.9804782,72.8266226
HUL-I10A341P4425-P4425,AMBER MEDICAL,30130390,W325G - WESTERN 325L GLASSTOP,18.9783349,72.8270771
HUL-I10C181P3207-P3207,Ms Bandhan Mithiwala,400100335940,W425G - WESTERN 425L GLASSTOP,19.1668968,73.2400588
HUL-I190034P5518-P5518,SHREE MOMAI GENERAL STORE,30037640,VT3 - NUCAB 400L GLASSTOP,19.2771529,73.0463658
HUL-I133832P1557-P1557,M/S ROSE CHEMIST AND DRUGGIST (KHARGHAR),400100341142,W525G - WESTERN 525L GLASSTOP,19.0720142,73.0785943
HUL-I10C181P3492-P3492,Nx Metro Medical And General Storesand Chemist,400100379912,W425G - WESTERN 425L GLASSTOP,19.161792,73.2463093
HUL-I190034P8167-P8167,NATIONAL MEDICO & GENERAL STORE,30130743,W325G - WESTERN 325L GLASSTOP,19.2384682,73.0159725
HUL-I10C181P3244-P3244,Ms Krishna Mithiwala,400100341179,W525G - WESTERN 525L GLASSTOP,19.1646007,73.2482214
HUL-I10C159P4092-P4092,DEEP GENERAL STORE,400100370034,W325G - WESTERN 325L GLASSTOP,19.177007,73.0045738
HUL-I10C181P3093-P3093,MAYUR CHEMIST AND GENERAL STORE Nx,400100322273,W525G - WESTERN 525L GLASSTOP,19.1661406,73.2499616
HUL-I10C159P4091-P4091,MS NARAYAN,400100380059,W425G - WESTERN 425L GLASSTOP,19.1762547,73.0046244
HUL-I10C181P3198-P3198,A k Bakery,400100335579,W425G - WESTERN 425L GLASSTOP,19.1528778,73.2653172
HUL-I10C181P3520-P3520,A1 Bakery,400100384206,W425G - WESTERN 425L GLASSTOP,19.1553278,73.2661923
HUL-I10C162P3432-P3432,RUSHABH PHARMA GENEICS PVT LTD,400100273620,W425G - WESTERN 425L GLASSTOP,19.1988495,72.9767938
HUL-I10C181P3437-P3437,Faiz Medical,400100368489,W325G - WESTERN 325L GLASSTOP,19.1565263,73.2659998
HUL-I133832P11610-P11610,2.BALAJI MEDICO CHEMIST AND DRUGGIST(ULWE),400100280971,W525G - WESTERN 525L GLASSTOP,18.9746952,73.0280034
HUL-I190034P5643-P5643,SHREE DURGA FAST FOOD,400100143165,VT2 - NUCAB 300L GLASSTOP,19.1972015,72.9778349
HUL-I10C181P2501-P2501,Ganesh Medical,400100319144,W425G - WESTERN 425L GLASSTOP,19.1598896,73.2649113
HUL-I134897P8914-P8914,KAMAL DAIRY FARM,30130827,W425G - WESTERN 425L GLASSTOP,19.1436782,72.9254178
HUL-I10C140P7259-P7259,MAHALAXMI MEDICAL,400100266730,W425G - WESTERN 425L GLASSTOP,18.9655704,73.0197193
HUL-I134859P656-P656,RELAINCE RETAIL LTD,400100324523,W525G - WESTERN 525L GLASSTOP,19.0404021,73.063773
HUL-I190034P10369-P10369,CHAMUNDA SUPER MARKET COC,400100151219,VT3 - NUCAB 400L GLASSTOP,19.2117835,72.9550163
HUL-I10C181P3066-P3066,MS METRO CHEMIST,400100322234,W325G - WESTERN 325L GLASSTOP,19.1864962,73.222348
HUL-I10A008P448001-P448001,Bhawani Super Market,30078151,W425G - WESTERN 425L GLASSTOP,19.2012496,72.8254875
HUL-I190034P1052-P1052,JAI MAHARASTRA DRYFOOD & GEN STORE,400100151220,VT3 - NUCAB 400L GLASSTOP,19.2087072,72.9551498
HUL-I10C032P6043-P6043,Life Care Medico,400100359127,W325G - WESTERN 325L GLASSTOP,19.2336777,73.1196379
HUL-I10C140P7590-P7590,MAHADEV SUPER MARKET,400100374951,W425G - WESTERN 425L GLASSTOP,18.9638176,73.0211815
HUL-I190034P2076-P2076,WALK UP ICE CREAM PARLOUR,30117616,W325G - WESTERN 325L GLASSTOP,19.208717,72.9527137
HUL-I190034P2099-P2099,AARYA SUPER MARKET,400100155293,VT2 - NUCAB 300L GLASSTOP,19.2091717,72.954472
HUL-I190034P8355-P8355,HARI OM SAI JUICE & SNACKS,30153202,W325G - WESTERN 325L GLASSTOP,19.2079306,72.9552564
HUL-I10A341P5708-P5708,SOPHIA COLLEGE CANTEEN (NANU HOSPITALITY SERVICES),400100264769,W425G - WESTERN 425L GLASSTOP,18.9695449,72.8077598
HUL-I170105P1463-P1463,AVENUE SUPERMARTS LTD (KHARGHAR),400100389413,W525G - WESTERN 525L GLASSTOP,19.0417566,73.0766599
HUL-I10C032P5745-P5745,Soham Medical Store,400100322225,W325G - WESTERN 325L GLASSTOP,19.2356017,73.1254067
HUL-I190034P1398-P1398,SHIV SAGAR DAIRY,30002955,VT3 - NUCAB 400L GLASSTOP,19.2093178,72.9497012
HUL-I10C273P3389-P3389,Metro Chemist & Super Mart,400100267696,W425G - WESTERN 425L GLASSTOP,18.9612388,73.021165
HUL-I134859P786-P786,AFPPL Kharghar,400100335838,W425G - WESTERN 425L GLASSTOP,19.0420427,73.0767295
HUL-I170105P1568-P1568,AVENUE SUPERMARTS LTD (GHANSOLI),400100386565,W525G - WESTERN 525L GLASSTOP,19.1223453,72.9997171
HUL-I134048P180-P180,PVR LTD    (MALAD),30086051,W425G - WESTERN 425L GLASSTOP,19.1850973,72.8337819
HUL-I133832P2539-P2539,GLOBAL CHEMIST,400100264760,W425G - WESTERN 425L GLASSTOP,18.9609064,73.0206856
HUL-I10C159P3971-P3971,MYUREASH IC CERAM,400100358968,W325G - WESTERN 325L GLASSTOP,19.123441,72.99905
HUL-I10C273P3409-P3409,ROYAL SUPER MARKET,400100335685,W325G - WESTERN 325L GLASSTOP,18.9579875,73.0174977
HUL-I10C159P3907-P3907,12.Bikaner Sweet And Snacks Ghansoli.12,400100338558,W525G - WESTERN 525L GLASSTOP,19.1249837,72.997545
HUL-I10A451P9740-P9740,Mahesh Super Market (Kalina),30130533,W425G - WESTERN 425L GLASSTOP,19.0775824,72.8644363
HUL-I170108P3609-P3609,SHREE SWEETS (WADALA),30034484,VT4 - NUCAB 450L GLASSTOP,19.0127637,72.849039
HUL-I10C032P6257-P6257,Jodhpur Mithaai Wala,400100382310,W425G - WESTERN 425L GLASSTOP,19.2461943,73.1232787
HUL-1330601453-P20,MILAN DRYFRUITS,400100109997,VT3 - NUCAB 400L GLASSTOP,19.0619234,72.8833989
HUL-I10C273P2531-P2531,MITESH KIRANA AND GENERAL STORES ( ULWE ),400100335894,W325G - WESTERN 325L GLASSTOP,18.9582867,73.0174421
HUL-I10A451P1047-P1047,M/S AMMIS MART,30155329,W525G - WESTERN 525L GLASSTOP,19.0763221,72.8664697
HUL-I10C159P4032-P4032,JAY AMBE GENERAL STORE,400100325852,W325G - WESTERN 325L GLASSTOP,19.1470999,73.0027175
HUL-I10A008P448499-P448499,Bhavna Medico And General Store,400100385672,W225G - WESTERN 225L GLASSTOP,19.1833907,72.8414731
HUL-I10A421P1460-P1460,Govind Medical And General Stores,30125216,W425G - WESTERN 425L GLASSTOP,19.0095889,72.8542683
HUL-I10A042P1231-P1231,SHREE KRISHNA PROVISION AND GENERAL STORE,30083797,W325G - WESTERN 325L GLASSTOP,19.0760913,72.8663751
HUL-I133832P12266-P12266,PATIL MEDICAL AND GENARAL STORE,400100268104,W425G - WESTERN 425L GLASSTOP,18.9581128,73.0174518
HUL-I134897P15371-P15371,MARIYAM GENRAL STORE,400100251821,W325G - WESTERN 325L GLASSTOP,19.0654538,72.883317
HUL-I10A421P1179-P1179,GARIB NAWAZ  STORES,30096031,W425G - WESTERN 425L GLASSTOP,19.0057265,72.8545074
HUL-I10C140P7842-P7842,SHEETAL SUPER MARKET,400100374953,W425G - WESTERN 425L GLASSTOP,18.9596472,73.0178992
HUL-I10C032P2092-P2092,Mohite Traders,400100086171,VT2 - NUCAB 300L GLASSTOP,19.250135,73.12326
HUL-I170108P3624-P3624,SURYA NAGAR CONS CO OP SOC LTD (SHRADDHA PROV STR),30034479,VT4 - NUCAB 450L GLASSTOP,19.0054343,72.8539374
HUL-I10C032P6134-P6134,Life Care Medical And General Store,400100370168,W325G - WESTERN 325L GLASSTOP,19.2393698,73.1242808
HUL-I10A341P5694-P5694,M.HASAN GENERAL STORE,400100291413,W425G - WESTERN 425L GLASSTOP,18.972527,72.8286851
HUL-I10A438P12737097-P12737097,Shri Mahadev Dhanya Bhandar,30114678,W325G - WESTERN 325L GLASSTOP,19.4471217,72.8224139
HUL-I134524P318-P318,SHRI SAI ANIL AND GENERAL STORES,400100150273,VT3 - NUCAB 400L GLASSTOP,19.4450912,72.8252869
HUL-I10A438P12736235-P12736235,CHAMUNDA MEDICAL,400100214933,W325G - WESTERN 325L GLASSTOP,19.4451066,72.8253035
HUL-I10A438P12734351-P12734351,M/S JAY RAMDEV GENERAL STORE (VIRAR EAST),30095818,W325G - WESTERN 325L GLASSTOP,19.4454477,72.8256831
HUL-I10A438P12736297-P12736297,WELCOME MEDICAL,400100229209,W325G - WESTERN 325L GLASSTOP,19.4452931,72.8267882
HUL-I10A438P12736544-P12736544,SRI RAMDEV SUPER MARKET,400100229249,W325G - WESTERN 325L GLASSTOP,19.4452415,72.8275218
HUL-I10A438P12736134-P12736134,KIRAN MEDICAL STORE,400100211734,W325G - WESTERN 325L GLASSTOP,19.4450035,72.8277709
HUL-I10A438P12737743-P12737743,Jay Ambe Super Bajar,30130597,W325G - WESTERN 325L GLASSTOP,19.4444222,72.8281241
HUL-I10C181P3395-P3395,Balaji Medical,400100372078,W425G - WESTERN 425L GLASSTOP,19.1701209,73.2456419
HUL-I10C181P3217-P3217,Om Sai Tedares,400100335932,W425G - WESTERN 425L GLASSTOP,19.1696173,73.2474976
HUL-I10C181P3270-P3270,Ms Priya Medical,400100339017,W525G - WESTERN 525L GLASSTOP,19.1577711,73.2494593
HUL-I10C181P3633-P3633,Shri Sai Medical And General Store,400100384724,W425G - WESTERN 425L GLASSTOP,19.1789598,73.226348
HUL-I10C181P3468-P3468,Maharashtra Chemist,400100368208,W325G - WESTERN 325L GLASSTOP,19.1810367,73.2291872
HUL-I10C181P3435-P3435,Jagdish Super Mart Badlapur,400100368484,W325G - WESTERN 325L GLASSTOP,19.181295,73.229454
HUL-I10A451P10196-P10196,Nandu Kirna Store,30148715,W425G - WESTERN 425L GLASSTOP,19.1206682,72.8547391
HUL-I10C032P5792-P5792,Aarush Kirana And General Store,400100331516,W325G - WESTERN 325L GLASSTOP,19.2434466,73.1453433
HUL-I134714P2080-P2080,RELIANCE RETAIL LIMITED(BORIVALI),30081615,W425G - WESTERN 425L GLASSTOP,19.2189768,72.8655646
HUL-KUDOMB07P233131-P233131,VIKAS G MEDICAL AND GENERAL STORES,400100325862,W325G - WESTERN 325L GLASSTOP,19.2773979,73.1974551
HUL-I10C273P2512-P2512,Ansh Paan Shop,400100335902,W325G - WESTERN 325L GLASSTOP,18.9627488,73.0207317
HUL-I134490P9385-P9385,GET WELL CHEMIST,400100256280,W425G - WESTERN 425L GLASSTOP,19.2211487,72.8622283
HUL-I10C032P6080-P6080,Rajeshree Sweet And Farshan Mart,400100385680,W225G - WESTERN 225L GLASSTOP,19.2774995,73.1974259
HUL-I10C032P6152-P6152,Aarav Kirana Store,400100389594,W225G - WESTERN 225L GLASSTOP,19.2744393,73.2011508
HUL-I133832P12177-P12177,VINAYAK MEDICAL AND GENERAL STORE (ULWE),400100229547,W425G - WESTERN 425L GLASSTOP,18.9678128,73.0185994
HUL-I134490P9808-P9808,Shree Sadguru Pharma,400100324595,W425G - WESTERN 425L GLASSTOP,19.2217562,72.8594336
HUL-I10C181P3219-P3219,Ms Vighnahar Icecream Center,400100335632,W425G - WESTERN 425L GLASSTOP,19.1651655,73.2463106
HUL-I133832P3482-P3482,NEW APPLE CHEMIST AND DRUGGIST,400100341156,W525G - WESTERN 525L GLASSTOP,18.9701231,73.0146411
HUL-I10C032P6067-P6067,Khan Medical And General Store,400100372140,W425G - WESTERN 425L GLASSTOP,19.2727917,73.1989386
HUL-I10C181P3506-P3506,Soham Shree Sadhguru Krupa Store,400100380020,W425G - WESTERN 425L GLASSTOP,19.1574754,73.265984
HUL-I134714P1632-P1632,SHEETAL CHEMIST &DRUGGIST (JOGESHWARI-E),30114097,W425G - WESTERN 425L GLASSTOP,19.1372515,72.850108
HUL-I10C140P7258-P7258,WALA MEDICO,400100264767,W425G - WESTERN 425L GLASSTOP,18.9679725,73.018142
HUL-I134549P683-P683,OM MARKET,400100370049,W325G - WESTERN 325L GLASSTOP,19.1729778,73.2382034
HUL-I134490P10130-P10130,Jeet Medicare,400100389587,W225G - WESTERN 225L GLASSTOP,19.1360422,72.8518544
HUL-I10C181P3327-P3327,Sundhamataji Farsan And Bakery,400100375010,W425G - WESTERN 425L GLASSTOP,19.172002,73.2382595
HUL-I10C032P6230-P6230,Kandy Crust,400100390055,W325G - WESTERN 325L GLASSTOP,19.2646053,73.1732612
HUL-I134490P10228-P10228,1.MEDICARE PHARMACY & GENERAL STORE,400100389414,W525G - WESTERN 525L GLASSTOP,19.1360822,72.8519051
HUL-I10C181P3385-P3385,MAULI NOVELTY AND GENERAL STORE,400100368413,W325G - WESTERN 325L GLASSTOP,19.1781259,73.2299764
HUL-I134859P987-P987,RAJ LAXMI SUPER STORE,400100389938,W525G - WESTERN 525L GLASSTOP,18.9707404,73.0137102
HUL-I170029P6961-P6961,JAY JALARAM WEFARSH AND FARSAD,400100358985,W325G - WESTERN 325L GLASSTOP,19.1616891,73.0754752
HUL-I134897P564-P564,SHIVAM DUGDHALYA (GHATKP-W),400100233970,W525G - WESTERN 525L GLASSTOP,19.0963598,72.9113295
HUL-I10A301P11878-P11878,Tawakkal Fruit Merchant,400100377332,W425G - WESTERN 425L GLASSTOP,19.2630918,73.1741909
HUL-I133832P2103-P2103,SUNIL MEDICAL CHEMIST & DRUGGIST,30081682,W425G - WESTERN 425L GLASSTOP,18.9683467,73.0137981
HUL-I10A301P11387-P11387,Maharashtra Medical And General Store,400100324596,W425G - WESTERN 425L GLASSTOP,19.2605398,73.174713
HUL-I133832P3492-P3492,SHREE SWAMI SAMARTH MEDICAL,30129678,W425G - WESTERN 425L GLASSTOP,18.966521,73.0140286
HUL-I134490P9636-P9636,MS BALAJI MEDICAL AND GENERAL STORE,400100280569,W525G - WESTERN 525L GLASSTOP,19.2158567,72.86686
HUL-I10B784P582-P582,Hari Om Medico And General Stores,30129585,W325G - WESTERN 325L GLASSTOP,19.1370631,72.8592484
HUL-I134897P4834-P4834,SHREE GANESH MEDICAL AND GENERAL STORE,30148728,W425G - WESTERN 425L GLASSTOP,19.0534389,72.8771924
HUL-I134490P10080-P10080,Kamar Store,400100380055,W425G - WESTERN 425L GLASSTOP,19.1357617,72.8589333
HUL-I10C273P2126-P2126,PANDHARPURI CHAI,30111714,W325G - WESTERN 325L GLASSTOP,18.9624283,73.0137327
HUL-I134556P1487-P1487,SHREE KRISHNA MEDICAL & GENERAL STORES,400100374973,W425G - WESTERN 425L GLASSTOP,19.1344611,72.8635438
HUL-I134897P8187-P8187,JAN KALYAN MEDICAL PVT. LTD,30125209,W425G - WESTERN 425L GLASSTOP,19.0532055,72.8755319
HUL-I134897P5022-P5022,BANGLORE IYANGAR BAKERY (KANJUR-W),30050163,W325G - WESTERN 325L GLASSTOP,19.1316677,72.9274176
HUL-I134490P406-P406,SHREE SAMARTH DHANYA BHANDAR (JOG-E),30012512,VT2 - NUCAB 300L GLASSTOP,19.1345244,72.8629797
HUL-133060P3449-P55,THAKUR VARIETY STORE,30082356,W425G - WESTERN 425L GLASSTOP,19.0528343,72.8736618
HUL-I134490P10188-P10188,Mk Barkey,400100384445,W425G - WESTERN 425L GLASSTOP,19.2274098,72.8630214
HUL-I170029P7230-P7230,ROYAL MART ( DOM EAST ),400100341131,W525G - WESTERN 525L GLASSTOP,19.1495836,73.079572
HUL-I134490P1706-P1706,AMBIKA NOVELTY & GENERAL STORE (JOG-E),30031718,VT2 - NUCAB 300L GLASSTOP,19.1336846,72.864752
HUL-I170113P144-P144,PARSHVA DRYFRUITS & FARSHAN (CHUNABHATTI),400100045509,VT3 - NUCAB 400L GLASSTOP,19.0528398,72.871642
HUL-I10C162P3209-P3209,NEW MODERN MEDIC0,400100293779,W325G - WESTERN 325L GLASSTOP,19.1897722,72.9716585
HUL-I134490P9749-P9749,Kamdar Milk Point,400100319212,W425G - WESTERN 425L GLASSTOP,19.2303064,72.8638289
HUL-133060P2794-P346,RELIANCE FRESH  LTD  (CHUNABHATTI),30028010,VT3 - NUCAB 400L GLASSTOP,19.054932,72.8717782
HUL-I10C162P2817-P2817,MAHAVIR GENERAL STORE,400100286761,W325G - WESTERN 325L GLASSTOP,19.1967061,72.971821
HUL-I10A042P5090-P5090,DEEPAL DAIRY & ICE CREAM CENTRE SWEET & FARSAN,30096223,W425G - WESTERN 425L GLASSTOP,19.1326069,72.862962
HUL-I170029P7150-P7150,Durga Health Juice Center & Fast Food,400100370061,W325G - WESTERN 325L GLASSTOP,19.1529528,73.0765479
HUL-I190034P5621-P5621,LIFE PANACEA CHEMIST AND DRUGGIST,400100272850,W525G - WESTERN 525L GLASSTOP,19.1975563,72.9731536
HUL-I134897P12542-P12542,Ms Mahalaxmi Super Market,30124998,XS550 - XING XING 475L GLASSTOP,19.1294821,72.923936
HUL-I10A451P9481-P9481,A K SOLUTIONS,400100281890,W325G - WESTERN 325L GLASSTOP,19.1312955,72.8618546
HUL-I133832P2082-P2082,MEDICITY CHEMIST(SEC-9),30153700,W525G - WESTERN 525L GLASSTOP,18.9715422,73.0161259
HUL-I10C159P4029-P4029,KRISHNA KIRANA STORE,400100357216,W325G - WESTERN 325L GLASSTOP,19.1642995,73.0028832
HUL-I10C140P7691-P7691,MEWARA MEDICO,400100291493,W425G - WESTERN 425L GLASSTOP,18.9732234,73.0194383
HUL-I10C159P4150-P4150,SHREE SIDDHANATH KIRANA STORE,400100369836,W325G - WESTERN 325L GLASSTOP,19.1642845,73.0022799
HUL-I134897P1832-P1832,PRAMOD READYMADE  & GENRAL STORES,400100151102,VT3 - NUCAB 400L GLASSTOP,19.0469928,72.8694706
HUL-I134490P312-P312,RAJARAM ICECREAM PARLOUR,30130898,W425G - WESTERN 425L GLASSTOP,19.2343568,72.8656202
HUL-I10A341P5612-P5612,MADRAS BHUVAN,30086020,W325G - WESTERN 325L GLASSTOP,18.9466971,72.8289238
HUL-I134897P1577-P1577,RAKESH KIRANA STORE (CHUNA),30009985,VT2 - NUCAB 300L GLASSTOP,19.0486531,72.8696502
HUL-I10C273P2170-P2170,GROFRU INDIA PRIVATE LIMITED,400100280955,W525G - WESTERN 525L GLASSTOP,18.9709945,73.0130658
HUL-I10C159P4090-P4090,RAMDEV KIRANA STORES,400100370032,W325G - WESTERN 325L GLASSTOP,19.1655293,73.0037416
HUL-I134490P9977-P9977,Krishna Dryfruits,30081655,W425G - WESTERN 425L GLASSTOP,19.2336648,72.8640884
HUL-I10A341P4396-P4396,SHREE GANESH CHEMIST AND GENERAL STORES,30129627,W325G - WESTERN 325L GLASSTOP,18.9476787,72.8258039
HUL-I10C159P4066-P4066,MS SHREE SIDDHIVINAYK DAIRY,400100386073,W525G - WESTERN 525L GLASSTOP,19.1650491,73.0046185
HUL-I134490P443-P443,SHRINATH GEN STORES (BOR-E),30125225,W425G - WESTERN 425L GLASSTOP,19.2247579,72.865817
HUL-I134490P9614-P9614,Mourya Trading & genral Stroe,400100286745,W325G - WESTERN 325L GLASSTOP,19.2245124,72.8660771
HUL-I10A341P3371-P3371,LITTLE BITES,400100384766,W425G - WESTERN 425L GLASSTOP,18.9486996,72.8255091
HUL-I10A421P6682-P6682,NEW RAHAT MEDICAL AND GENERAL STORE,400100292717,W425G - WESTERN 425L GLASSTOP,18.99579,72.8223944
HUL-I10C159P4021-P4021,CHAURASIYA KIRANA & GENERAL STORE,400100375087,W425G - WESTERN 425L GLASSTOP,19.1688105,73.0049005
HUL-I10A421P5038-P5038,LAXMI SUPER MARKET,30130495,W425G - WESTERN 425L GLASSTOP,19.0038809,72.8203885
HUL-I10A341P5780-P5780,1. SHREEJI CHEMIST,400100292714,W425G - WESTERN 425L GLASSTOP,18.9512244,72.8258066
HUL-I170029P7181-P7181,2. Mahaveer Corner Store ( Casabella ),400100384715,W425G - WESTERN 425L GLASSTOP,19.1737215,73.0697777
HUL-I10A421P6278-P6278,MILAN PUNJAB,30125300,W325G - WESTERN 325L GLASSTOP,19.0064504,72.8217202
HUL-I134490P9080-P9080,Noble Plus,30155332,W525G - WESTERN 525L GLASSTOP,19.1266695,72.8392053
HUL-I10A421P6321-P6321,GOLDEN DRY FRUITS AND GENERAL STORES,400100220111,W425G - WESTERN 425L GLASSTOP,18.9997946,72.8168962
HUL-I10A421P1407-P1407,HIGH HEALTH MEDICO AND GENERAL STORE,400100230942,W425G - WESTERN 425L GLASSTOP,18.9956801,72.8145382
HUL-I10C032P6068-P6068,Shivnath Enterprises,400100372149,W425G - WESTERN 425L GLASSTOP,19.2640836,73.1745547
HUL-1330601482-P152,PARIVAR DRY FRUITS,30130880,W425G - WESTERN 425L GLASSTOP,19.1322704,72.9366936
HUL-I134490P10214-P10214,Gajanan Chemist,400100382268,W425G - WESTERN 425L GLASSTOP,19.2253771,72.861138
HUL-I10C181P3379-P3379,Ganesh Super Market,400100375109,W425G - WESTERN 425L GLASSTOP,19.1510094,73.2319799
HUL-I134897P15597-P15597,Shree Janseva Medical,400100252601,W325G - WESTERN 325L GLASSTOP,19.13251,72.9362291
HUL-135005P3461-P3461,Jagat Kirna And General Store,400100331509,W325G - WESTERN 325L GLASSTOP,19.7940444,72.7605817
HUL-I134897P15365-P15365,NEW SURESH DAIRY,400100251841,W325G - WESTERN 325L GLASSTOP,19.0602637,72.9164555
HUL-I134897P9108-P9108,RAJKAMAL DAIRY,30153622,W425G - WESTERN 425L GLASSTOP,19.1328873,72.9375862
HUL-I170029P2701-P2701,ANAND MEDICAL AND GENERAL STORES,400100341108,W425G - WESTERN 425L GLASSTOP,19.2407186,73.1444234
HUL-I134490P8978-P8978,Dhanvantri Farmasuticals,400100214896,W325G - WESTERN 325L GLASSTOP,19.2343576,72.8655498
HUL-I10A451P1349-P1349,SHIV MART,400100281828,W325G - WESTERN 325L GLASSTOP,19.1178142,72.8830588
HUL-I10C058P858-P858,RK KARAN STORE,400100384204,W425G - WESTERN 425L GLASSTOP,19.793377,72.757586
HUL-I133959P1162-P1162,NOOR DAIRY,30001017,VT2 - NUCAB 300L GLASSTOP,19.0668278,72.9200385
HUL-I170105P3070-P3070,KARITA SANTKRUPA MILK,400100101370,VT3 - NUCAB 400L GLASSTOP,19.0522258,73.0164517
HUL-I10C058P245-P245,JYOTI MEDICO,400100219521,W425G - WESTERN 425L GLASSTOP,19.7934682,72.7569147
HUL-I10A451P7066-P7066,BHAWANI SUPER MARKET (MAROL),30131904,W425G - WESTERN 425L GLASSTOP,19.1191193,72.8877614
HUL-I134490P9834-P9834,Krishna Ganeral Store,400100358958,W325G - WESTERN 325L GLASSTOP,19.2376191,72.8673595
HUL-I134897P8204-P8204,JANATA MEDICAL AND SUPER MARKET,30075635,W425G - WESTERN 425L GLASSTOP,19.0629357,72.9185389
HUL-I10C032P6240-P6240,Manish Dairy,400100382227,W425G - WESTERN 425L GLASSTOP,19.24294,73.13971
HUL-I134490P10200-P10200,Ms NOORANI MILK CENTRE,400100382261,W425G - WESTERN 425L GLASSTOP,19.1230666,72.8443006
HUL- I133831P954-P954,2- SHREENATH DUGHDHALAY (AND-W),400100322287,W525G - WESTERN 525L GLASSTOP,19.1231634,72.84413
HUL-I170105P3198-P3198,NEW JAGDAMBA SUPER MARKET,30130556,W325G - WESTERN 325L GLASSTOP,19.052797,73.0151592
HUL-I134897P5451-P5451,MAHESH DAIRY FARM AND FAST FOOD (GOVANDI),30001497,VT3 - NUCAB 400L GLASSTOP,19.062288,72.9230746
